Date,Open,High,Low,Close,Adj Close,Volume,% Return,% YTD
2022-08-03,12983.599609375,13274.4912109375,12974.8544921875,13267.97265625,13267.97265625,769573246,,-80.81523079984962
2022-08-02,12853.0400390625,13073.26953125,12809.009765625,12901.599609375,12901.599609375,4742630000,-2.761334051305997,-80.27043150687317
2022-08-01,12877.0400390625,13084.6103515625,12833.16015625,12940.7802734375,12940.7802734375,4373610000,0.3036884204190349,-80.33016651348741
2022-07-29,12784.2001953125,12986.6396484375,12726.25,12947.9697265625,12947.9697265625,4893090000,0.05555656593410063,-80.34108832971144
2022-07-28,12580.6103515625,12741.830078125,12433.5498046875,12717.8701171875,12717.8701171875,4892770000,-1.7771095718810304,-79.98540708321423
2022-07-27,12299.33984375,12660.76953125,12256.9404296875,12601.4697265625,12601.4697265625,4559800000,-0.9152506634557578,-79.80053131203306
2022-07-26,12248.2099609375,12259.009765625,12051.2099609375,12086.900390625,12086.900390625,4304110000,-4.083407309647735,-78.94058981726246
2022-07-25,12391.2099609375,12415.58984375,12244.400390625,12328.41015625,12328.41015625,4261620000,1.9981116565858548,-79.3531371897925
2022-07-22,12575.759765625,12662.8603515625,12322.8203125,12396.4697265625,12396.4697265625,4700220000,0.5520547211677274,-79.46649338249573
2022-07-21,12466.1298828125,12620.5,12351.419921875,12619.41015625,12619.41015625,4646260000,1.7984186998802887,-79.82924795910566
2022-07-20,12269.0703125,12488.3896484375,12232.2001953125,12439.6796875,12439.6796875,5427450000,-1.4242382688622324,-79.53781772855135
2022-07-19,12046.6904296875,12258.3701171875,11967.919921875,12249.419921875,12249.419921875,5251410000,-1.5294587192319908,-79.21999614777677
2022-07-18,12089.6796875,12156.08984375,11836.51953125,11877.5,11877.5,5003870000,-3.0362247702099388,-78.56931229938434
2022-07-15,11896.150390625,11987.51953125,11828.1298828125,11983.6201171875,11983.6201171875,4342760000,0.8934549963165672,-78.75909026864225
2022-07-14,11637.1796875,11801.1103515625,11488.26953125,11768.400390625,11768.400390625,4456350000,-1.7959491744387046,-78.37063791891057
2022-07-13,11523.91015625,11819.6904296875,11498.9599609375,11728.5302734375,11728.5302734375,4400730000,-0.33878960490894006,-78.29711078628961
2022-07-12,11926.83984375,11990.4404296875,11684.01953125,11744.990234375,11744.990234375,4279920000,0.14034120690107343,-78.32752619758922
2022-07-11,12008.759765625,12026.0595703125,11830.8896484375,11860.2802734375,11860.2802734375,4343130000,0.9816103441710133,-78.53819747125694
2022-07-08,11977.9501953125,12179.3203125,11956.0302734375,12125.6904296875,12125.6904296875,4495900000,2.2378067813828784,-79.00795879293922
2022-07-07,11913.73046875,12137.7099609375,11897.509765625,12109.0498046875,12109.0498046875,4662320000,-0.13723445354714148,-78.97911089063923
2022-07-06,11807.080078125,11941.3095703125,11727.3603515625,11852.58984375,11852.58984375,4824620000,-2.1179197796198923,-78.52427220382677
2022-07-05,11419.33984375,11781.740234375,11366.0703125,11779.900390625,11779.900390625,5028520000,-0.6132790730401405,-78.39175334906568
2022-07-01,11472.6298828125,11592.849609375,11378.6298828125,11585.6796875,11585.6796875,4844560000,-1.6487465656294553,-78.02951574445014
2022-06-30,11532.3203125,11650.9599609375,11322.8603515625,11503.7197265625,11503.7197265625,5620800000,-0.7074247100576025,-77.8729837639982
2022-06-29,11619.009765625,11710.2099609375,11537.7197265625,11658.259765625,11658.259765625,5609230000,1.3433919004968597,-78.16629597544257
2022-06-28,12021.33984375,12133.8701171875,11633.1298828125,11637.76953125,11637.76953125,5397910000,-0.1757572295259413,-78.12785409776694
2022-06-27,12157.9296875,12175.98046875,11965.669921875,12008.240234375,12008.240234375,5017930000,3.1833479957667388,-78.80263983765055
2022-06-24,11826.9501953125,12112.8203125,11812.1796875,12105.849609375,12105.849609375,9438810000,0.812853283202819,-78.97355399434835
