symbol,company,actual,predicted,minimum,maximum,min,max,suggest
COP,ConocoPhillips Common Stock,0.2864676719109349,0.1172829987234626,0.2141139363575761,0.309665120766901,0.0723537355533588,0.023197448855966085,sell
TMO,Thermo Fisher Scientific Inc Common Stock,0.1928052789780835,0.1571283839463111,0.1744033460493584,0.2041717140577439,0.018401932928725107,0.011366435079660397,buy
SPGI,S&P Global Inc. Common Stock,0.1418013418643192,0.0818104482694103,0.1329247824594598,0.1440178882633124,0.008876559404859402,0.0022165463989932133,buy
DHR,Danaher Corporation Common Stock,0.1331908543165407,0.1174737125401508,0.1239976260033042,0.1385200439473097,0.009193228313236504,0.0053291896307690045,buy
UNH,UnitedHealth Group Incorporated Common Stock (DE),0.1150528576491897,0.118702152547117,0.1046852568565272,0.1211837290668751,0.010367600792662496,0.00613087141768541,buy
QCOM,QUALCOMM Incorporated Common Stock,0.1133061702383895,0.0633486328892123,0.1028449735186566,0.1172470719831256,0.010461196719732904,0.003940901744736103,buy
WFC,Wells Fargo & Company Common Stock,0.1050682105341601,0.0759296427204108,0.0966461041133431,0.1114412752242937,0.008422106420817005,0.006373064690133601,buy
LOW,Lowe's Companies Inc. Common Stock,0.1033666283287715,0.065295669237922,0.0936217034807582,0.1103867170557443,0.0097449248480133,0.007020088726972795,buy
BLK,BlackRock Inc. Common Stock,0.1027556361799932,0.126712639227842,0.0866982990440749,0.1172547385154338,0.016057337135918295,0.014499102335440606,sell
NKE,Nike Inc. Common Stock,0.0951631797782376,0.1346822219448811,0.0790275060760478,0.1030690273710551,0.016135673702189796,0.007905847592817497,sell
VZ,Verizon Communications Inc. Common Stock,0.0917330043002519,0.0736833064940859,0.0877357683893766,0.0938439846617349,0.003997235910875294,0.0021109803614829947,buy
AVGO,Broadcom Inc. Common Stock,0.0903382634630267,0.1301453972276073,0.077101602047099,0.0992335757787636,0.013236661415927706,0.008895312315736897,sell
V,Visa Inc.,0.0850656618498491,0.1065766007548512,0.082916197752964,0.0890590104708696,0.002149464096885101,0.003993348621020507,buy
NEE,NextEra Energy Inc. Common Stock,0.0828622118321269,0.1069222450207992,0.0804398165726606,0.0889114473005381,0.0024223952594663034,0.006049235468411199,buy
IBM,International Business Machines Corporation Common Stock,0.0822058181284143,0.51348816719954,0.0793323556342311,0.1267189355867134,0.0028734624941832015,0.0445131174582991,buy
CRM,Salesforce Inc. Common Stock,0.0806263084925276,0.1028488529324454,0.0767882735139381,0.0870325848898745,0.0038380349785894913,0.006406276397346908,buy
ACN,Accenture plc Class A Ordinary Shares (Ireland),0.0796353381164709,0.120025194862058,0.0764537213766779,0.0854863001600243,0.003181616739793003,0.005850962043553398,buy
PEP,PepsiCo Inc. Common Stock,0.0772385715300777,0.0696861357840462,0.0717133261358524,0.0801370296227202,0.005525245394225289,0.0028984580926424974,buy
TM,Toyota Motor Corporation Common Stock,0.0766217070271624,0.0975907666491066,0.0747990622081686,0.0805146121448045,0.0018226448189937877,0.0038929051176421064,buy
TD,Toronto Dominion Bank (The) Common Stock,0.0751659949250919,0.286527565038348,0.0722156285663768,0.0954619903915266,0.002950366358715109,0.020295995466434694,buy
RTX,Raytheon Technologies Corporation Common Stock,0.0743794797058296,0.0585505447784537,0.0678813515987491,0.0827795360548266,0.006498128107080503,0.008400056348997001,buy
BAC,Bank of America Corporation Common Stock,0.0729269749536201,0.1415156553162067,0.0729269749536201,0.0779289399285243,0.0,0.005001964974904197,buy
INTU,Intuit Inc. Common Stock,0.0662075248253822,0.1251599389109616,0.0593552445998668,0.0739347510958837,0.0068522802255154,0.0077272262705015,buy
TMUS,T-Mobile US Inc. Common Stock,0.0660058645653108,0.1212248598823227,0.0611615200230785,0.071655946517282,0.004844344542232294,0.0056500819519711976,buy
LIN,Linde plc Ordinary Share,0.0631001643569381,0.1026370106316486,0.0596018564590502,0.068181437068028,0.003498307897887902,0.005081272711089893,buy
PFE,Pfizer Inc. Common Stock,0.0612135486444761,0.1599199805538275,0.0599083098523322,0.0682037724883721,0.0013052387921438993,0.006990223843896005,buy
MS,Morgan Stanley Common Stock,0.0595203598215396,0.1048188230419945,0.0590191405992206,0.0628560206622965,0.0005012192223190007,0.003335660840756892,buy
ASML,ASML Holding N.V. New York Registry Shares,0.0567377008997254,0.1210668416974035,0.0544764394687444,0.0630744743497568,0.0022612614309810014,0.006336773450031398,buy
