symbol,company,actual,predicted,minimum,maximum,min,max,suggest
NVDA,NVIDIA Corporation Common Stock,-0.1983962177289579,0.359189101387502,-0.3090190361028576,-0.1983962177289579,0.11062281837389967,0.0,
HON,Honeywell International Inc. Common Stock,-0.0084606295453284,0.1530895575573194,-0.0098274458313824,-0.0084606295453284,0.0013668162860539998,0.0,
ABT,Abbott Laboratories Common Stock,-0.016792801741006,0.1534553756656791,-0.0196517456309641,-0.016792801741006,0.0028589438899580995,0.0,
LMT,Lockheed Martin Corporation Common Stock,-0.0169348469900322,0.1257501329808799,-0.0193511952936154,-0.0169348469900322,0.0024163483035832024,0.0,
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),-0.0031731642813093,0.0838372487539324,-0.0034492626160547,-0.0031731642813093,0.00027609833474540003,0.0,
FB,Meta Platforms Inc. Class A Common Stock,-0.1804450249573604,0.1055460901063539,-0.2320506988526157,-0.1804450249573604,0.051605673895255305,0.0,
BAC,Bank of America Corporation Common Stock,-0.0547571120994423,0.216961069360564,-0.0696356150211044,-0.0547571120994423,0.014878502921662096,0.0,
WFC,Wells Fargo & Company Common Stock,-0.0633762324586599,0.10037613320379,-0.0737542404505388,-0.0633762324586599,0.010378007991878893,0.0,
NVDA,NVIDIA Corporation Common Stock,-0.0438992646390564,0.1901550612402139,-0.0541740774307464,-0.0438992646390564,0.01027481279169,0.0,
ACN,Accenture plc Class A Ordinary Shares (Ireland),-0.0711359574437167,0.1290043627253781,-0.0853731307420373,-0.0711359574437167,0.014237173298320596,0.0,
XOM,Exxon Mobil Corporation Common Stock,-0.083188998732281,0.1263576294374987,-0.1006209729174505,-0.083188998732281,0.017431974185169494,0.0,
DIS,Walt Disney Company (The) Common Stock,-0.0840398015067444,0.1521774475579424,-0.1038914522306098,-0.0840398015067444,0.01985165072386541,0.0,
DIS,Walt Disney Company (The) Common Stock,-0.0895623686987497,0.1088987142010568,-0.1073370133777753,-0.0895623686987497,0.017774644679025606,0.0,
XOM,Exxon Mobil Corporation Common Stock,-0.1649627347306868,0.1330718020210966,-0.2141273269574543,-0.1649627347306868,0.0491645922267675,0.0,
ADBE,Adobe Inc. Common Stock,-0.1695068790792847,0.1861231097153775,-0.2297886085868689,-0.1695068790792847,0.0602817295075842,0.0,
MDT,Medtronic plc. Ordinary Shares,0.2281605019049169,0.0830495660060996,0.1950519179383505,0.2281605019049169,0.03310858396656641,0.0,sell
ACN,Accenture plc Class A Ordinary Shares (Ireland),-0.0042753551461339,0.1419286528534815,-0.0049615248527055,-0.0042405961994027,0.0006861697065716002,3.47589467311997e-05,
PFE,Pfizer Inc. Common Stock,-0.0281183278788315,0.0954373776975223,-0.0316184626248532,-0.0280626405952715,0.0035001347460216978,5.568728356000058e-05,
